time,IP,seq
1462855531,2001:470:83ae:2:212:6d02:0:4013,47
1462855531,2001:470:83ae:2:212:6d02:0:4044,47
1462855533,2001:470:83ae:2:212:6d02:0:4040,46
1462855534,2001:470:83ae:2:212:6d02:0:4034,48
1462855537,2001:470:83ae:2:212:6d02:0:4035,46
1462855538,2001:470:83ae:2:212:6d02:0:4043,47
1462855540,2001:470:83ae:2:212:6d02:0:4042,47
1462855540,2001:470:83ae:2:212:6d02:0:4041,44
1462855541,2001:470:83ae:2:212:6d02:0:4043,46
1462855541,2001:470:83ae:2:212:6d02:0:4013,48
1462855541,2001:470:83ae:2:212:6d02:0:4044,48
1462855543,2001:470:83ae:2:212:6d02:0:4040,47
1462855544,2001:470:83ae:2:212:6d02:0:4034,49
1462855547,2001:470:83ae:2:212:6d02:0:4035,47
1462855548,2001:470:83ae:2:212:6d02:0:4043,48
1462855550,2001:470:83ae:2:212:6d02:0:4042,48
1462855551,2001:470:83ae:2:212:6d02:0:4041,45
1462855551,2001:470:83ae:2:212:6d02:0:4013,49
1462855551,2001:470:83ae:2:212:6d02:0:4043,47
1462855552,2001:470:83ae:2:212:6d02:0:4044,49
1462855553,2001:470:83ae:2:212:6d02:0:4040,48
1462855554,2001:470:83ae:2:212:6d02:0:4034,50
1462855557,2001:470:83ae:2:212:6d02:0:4035,48
1462855558,2001:470:83ae:2:212:6d02:0:4043,49
1462855560,2001:470:83ae:2:212:6d02:0:4042,49
1462855561,2001:470:83ae:2:212:6d02:0:4013,50
1462855561,2001:470:83ae:2:212:6d02:0:4041,46
1462855561,2001:470:83ae:2:212:6d02:0:4043,48
1462855562,2001:470:83ae:2:212:6d02:0:4044,50
1462855563,2001:470:83ae:2:212:6d02:0:4040,49
1462855564,2001:470:83ae:2:212:6d02:0:4034,51
1462855567,2001:470:83ae:2:212:6d02:0:4035,49
1462855568,2001:470:83ae:2:212:6d02:0:4043,50
1462855570,2001:470:83ae:2:212:6d02:0:4042,50
1462855571,2001:470:83ae:2:212:6d02:0:4013,51
1462855572,2001:470:83ae:2:212:6d02:0:4041,47
1462855572,2001:470:83ae:2:212:6d02:0:4043,49
1462855572,2001:470:83ae:2:212:6d02:0:4044,51
1462855573,2001:470:83ae:2:212:6d02:0:4040,50
1462855574,2001:470:83ae:2:212:6d02:0:4034,52
1462855577,2001:470:83ae:2:212:6d02:0:4035,50
1462855578,2001:470:83ae:2:212:6d02:0:4043,51
1462855580,2001:470:83ae:2:212:6d02:0:4042,51
1462855581,2001:470:83ae:2:212:6d02:0:4013,52
1462855582,2001:470:83ae:2:212:6d02:0:4044,52
1462855582,2001:470:83ae:2:212:6d02:0:4043,50
1462855582,2001:470:83ae:2:212:6d02:0:4041,48
1462855583,2001:470:83ae:2:212:6d02:0:4040,51
1462855584,2001:470:83ae:2:212:6d02:0:4034,53
1462855587,2001:470:83ae:2:212:6d02:0:4035,51
1462855588,2001:470:83ae:2:212:6d02:0:4043,52
1462855590,2001:470:83ae:2:212:6d02:0:4042,52
1462855591,2001:470:83ae:2:212:6d02:0:4013,53
1462855592,2001:470:83ae:2:212:6d02:0:4044,53
1462855592,2001:470:83ae:2:212:6d02:0:4043,51
1462855593,2001:470:83ae:2:212:6d02:0:4041,49
1462855593,2001:470:83ae:2:212:6d02:0:4040,52
1462855594,2001:470:83ae:2:212:6d02:0:4034,54
